"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,0.0391552081705344,0.0010250036697916,172.8
42,0.0704479890594442,0.00581144737892683,179.45
43,0.0712116848268588,0.007609286073155,188.55
44,0.0717175009373152,0.00728242133079482,196.2
45,0.216333832833833,0.0129006008378821,200.4
46,0.299758372260694,0.0228101972222842,204.9
47,0.25861444559945,0.011848255557205,217.75
48,0.269289580859902,0.010273187143489,232
49,0.419135047185357,0.0343226912280385,239.5
50,0.260643115913137,0.0186796072235545,244.6
51,0.181760645701048,0.0132432046359155,249.2
52,0.0854808524808525,0.00395138320200296,251.551
53,0.123448956517169,0.00668662058920782,253.021
54,0.0574960398802912,0.00604190550682206,256.825
55,0.0648940057419702,0.00275742643184435,261.895
56,0.0772486297028262,0.00352334206747461,265.59
57,0.0577194216378466,0.00389657286665107,269.955
58,0.0826275803075201,0.00386192300519903,278.255
59,0.0839424899812955,0.00485217317092446,286.8
60,0.122636227894589,0.00513386176547535,291.81
61,0.0908863409227733,0.00471066034048908,296.21
62,0.0346844349407639,0.00177991253686113,301.3
63,0.072909048467872,0.00300314713866558,305.35
64,0.0866670354429095,0.00641005275193777,311.1
65,0.0756303911900496,0.00604853432911109,319.2
66,0.0911562877233923,0.00879903897699312,327.05
67,0.0609692973009452,0.00457329578546383,338.8
68,0.0609581923534385,0.00659412742408322,352.8
69,0.0214984795159674,0.00178586076708837,365.55
70,0.0321458442238127,0.000915301976430032,377.45
71,0.0294760940564262,0.00083600572563798,385.2
72,0.0138037710971304,0.000287289733440161,390.5
73,0.0094692851035038,0.000124581073600557,400.45
74,0.00959472264824614,0.00010388713916443,409.2
75,0.0172037952600808,0.000346510571479003,415
76,NA,NA,421.1
77,NA,NA,424.3
78,NA,NA,426.5
79,NA,NA,428.95
80,NA,NA,431.95
81,NA,NA,435.95
82,NA,NA,439.65
83,NA,NA,442.3
84,NA,NA,444.5
85,NA,NA,449.1
86,NA,NA,455.7
87,NA,NA,462.85
88,NA,NA,468.65
89,NA,NA,473.85
90,NA,NA,481.55
91,NA,NA,487.45
92,NA,NA,491.75
93,NA,NA,495.5
94,NA,NA,498.75
95,NA,NA,502.5
96,NA,NA,506.75
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
