"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
1,NA,NA,0.00585,-0.469687334664136
2,NA,NA,0.07035,-0.469544349153703
3,NA,NA,0.4515,-0.468699404544835
4,NA,NA,1.287,-0.46684724339862
5,NA,NA,2.19,-0.464845446253579
6,NA,NA,3.09,-0.462850299597062
7,NA,NA,4.4665,-0.459798833627814
8,NA,NA,6.2895,-0.455757553233947
9,NA,NA,9.438,-0.448777865180985
10,NA,NA,12.725,-0.441491146226141
11,NA,NA,14.9,-0.436669541806656
12,NA,NA,18.21,-0.429331835770459
13,NA,NA,21.735,-0.421517511366535
14,NA,NA,25.425,-0.41333741007536
15,NA,NA,30.86,-0.401288941100683
16,NA,NA,35.805,-0.390326718638829
17,NA,NA,39.455,-0.38223529053251
18,NA,NA,44.5,-0.371051385108774
19,NA,NA,51.9,-0.35464684593447
20,NA,NA,57.6,-0.342010917110867
21,NA,NA,60.4,-0.335803794179942
22,NA,NA,63.8,-0.328266573478255
23,NA,NA,69.05,-0.316628217982823
24,NA,NA,77.85,-0.297120117342948
25,NA,NA,84.95,-0.281380627053979
27,NA,NA,91.85,-0.266084502688637
28,NA,NA,97.2,-0.254224464231364
29,NA,NA,106.75,-0.233053741377939
30,NA,NA,117.2,-0.209887871868014
31,NA,NA,123.585,-0.195733414756072
32,NA,NA,129.185,-0.183319168894316
33,NA,NA,136.2,-0.167768109122863
34,NA,NA,142.4,-0.154023765490153
35,NA,NA,147.1,-0.143604666284809
36,NA,NA,152,-0.132742201155807
37,NA,NA,158.15,-0.119108699004033
38,NA,NA,163.4,-0.107470343508626
39,NA,NA,166.75,-0.100043964287827
40,NA,NA,169.55,-0.0938368413569518
41,NA,NA,172.8,-0.086632145097904
42,NA,NA,179.45,-0.0718902281370792
43,NA,NA,188.55,-0.0517170786117477
44,NA,NA,196.2,-0.0347583320327623
45,NA,NA,200.4,-0.0254476476364372
46,0.0718526244996833,0.00247957582211638,204.9,-0.0154719143546845
47,0,0,217.75,0.0217591954984035
48,NA,NA,232,0.119951032848168
49,0,0,239.5,0.20819625434134
50,0.0693229103198143,0.00283213125200841,244.6,0.28503980320496
51,0.150992063492063,0.00757478761467326,249.2,0.364056381448177
52,0.369317515817516,0.0343051993847857,251.551,0.406667292078372
53,0.738214871004917,0.036218379455882,253.021,0.433643251462976
54,0.878749138117013,0.0457264715304151,256.825,0.502890112844948
55,0.703875184619302,0.028982031693508,261.895,0.588336594827431
56,0.486995483274895,0.0309078174035777,265.59,0.641104375421572
57,0.800035713790405,0.017256824103085,269.955,0.68912231742793
58,0.61283225466596,0.0289006384461473,278.255,0.731338631512091
59,0.640083704650295,0.0217092538922459,286.8,0.709221295735334
60,0.646666125584082,0.037936677760766,291.81,0.671318983868878
61,0.713732018705932,0.0133716453994562,296.21,0.628035926943357
62,0.710430846930847,0.0508572388099801,301.3,0.572630835465817
63,0.525387112887113,0.0193673708709635,305.35,0.52907904962316
64,0.430656565656566,0.0292513713179809,311.1,0.474552216751602
65,0.306642857142857,0.040718223602379,319.2,0.422157670755629
66,NA,NA,327.05,0.403616065873107
67,0.386359307359307,0.0327019216965093,338.8,0.427471662022884
68,0.521679309561663,0.00310602224658875,352.8,0.509824099185017
69,0.400053245859747,0.0220273482759237,365.55,0.592071827687909
70,1.0795535020535,0.0513778444986245,377.45,0.641214170468522
71,0.595864386958914,0.0193871985301636,385.2,0.65191991950074
72,0.600075903640503,0.0197416001687248,390.5,0.650436345789861
73,0.615174631513235,0.0170530019590792,400.45,0.637575533103899
74,0.5,0,409.2,0.629446123289425
75,NA,NA,415,0.632292594774532
76,0.710570480616702,0.0198324036496247,421.1,0.645288702523331
77,0.418753135753136,0.0276815058179094,424.3,0.656806179879926
78,0.761666666666667,0.0502463707921057,426.5,0.666576369755987
79,NA,NA,428.95,0.678986768045337
80,0.726309523809524,0.0448055676103862,431.95,0.695803437104339
81,0.602272061272061,0.0334192214652104,435.95,0.719646063026474
82,1,0,439.65,0.741364231660338
83,0.537903257154745,0.0143851230614611,442.3,0.75565983117372
84,1.00733333333333,0.0617353261017457,444.5,0.76620948381409
85,0.825301755288147,0.0158381151202809,449.1,0.783121159346734
86,0.756213181900326,0.0138268414052267,455.7,0.792572837320537
87,0.904907128658225,0.0286626890274099,462.85,0.781604903439467
88,0.481666666666667,0.072067900081952,468.65,0.758205585838592
89,NA,NA,473.85,0.729080382921239
90,0.7575,0.00831203946092654,481.55,0.6784477284369
95,NA,NA,502.5,0.536131643898056
96,NA,NA,506.75,0.507260839158675
97,NA,NA,511.5,0.474993469155818
98,NA,NA,517.5,0.434234685994319
99,NA,NA,525,0.383286207042428
