"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,0.0718526244996833,0.00247957582211638,204.9
47,0,0,217.75
48,NA,NA,232
49,0,0,239.5
50,0.0693229103198143,0.00283213125200841,244.6
51,0.150992063492063,0.00757478761467326,249.2
52,0.369317515817516,0.0343051993847857,251.551
53,0.738214871004917,0.036218379455882,253.021
54,0.878749138117013,0.0457264715304151,256.825
55,0.703875184619302,0.028982031693508,261.895
56,0.486995483274895,0.0309078174035777,265.59
57,0.800035713790405,0.017256824103085,269.955
58,0.61283225466596,0.0289006384461473,278.255
59,0.640083704650295,0.0217092538922459,286.8
60,0.646666125584082,0.037936677760766,291.81
61,0.713732018705932,0.0133716453994562,296.21
62,0.710430846930847,0.0508572388099801,301.3
63,0.525387112887113,0.0193673708709635,305.35
64,0.430656565656566,0.0292513713179809,311.1
65,0.306642857142857,0.040718223602379,319.2
66,NA,NA,327.05
67,0.386359307359307,0.0327019216965093,338.8
68,0.521679309561663,0.00310602224658875,352.8
69,0.400053245859747,0.0220273482759237,365.55
70,1.0795535020535,0.0513778444986245,377.45
71,0.595864386958914,0.0193871985301636,385.2
72,0.600075903640503,0.0197416001687248,390.5
73,0.615174631513235,0.0170530019590792,400.45
74,0.5,0,409.2
75,NA,NA,415
76,0.710570480616702,0.0198324036496247,421.1
77,0.418753135753136,0.0276815058179094,424.3
78,0.761666666666667,0.0502463707921057,426.5
79,NA,NA,428.95
80,0.726309523809524,0.0448055676103862,431.95
81,0.602272061272061,0.0334192214652104,435.95
82,1,0,439.65
83,0.537903257154745,0.0143851230614611,442.3
84,1.00733333333333,0.0617353261017457,444.5
85,0.825301755288147,0.0158381151202809,449.1
86,0.756213181900326,0.0138268414052267,455.7
87,0.904907128658225,0.0286626890274099,462.85
88,0.481666666666667,0.072067900081952,468.65
89,NA,NA,473.85
90,0.7575,0.00831203946092654,481.55
95,NA,NA,502.5
96,NA,NA,506.75
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
