"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
1,NA,NA,0.00585,0.179121126457402
2,NA,NA,0.07035,0.179109364532644
3,NA,NA,0.4515,0.179039859763583
4,NA,NA,1.287,0.178887501808397
5,NA,NA,2.19,0.178722834862397
6,NA,NA,3.09,0.178558714982575
7,NA,NA,4.4665,0.178307702744147
8,NA,NA,6.2895,0.177975268809787
9,NA,NA,9.438,0.177401122763601
10,NA,NA,12.725,0.17680172049148
11,NA,NA,14.9,0.176405097448471
12,NA,NA,18.21,0.175801501001683
13,NA,NA,21.735,0.175158698139068
14,NA,NA,25.425,0.174485806631855
15,NA,NA,30.86,0.17349470491317
16,NA,NA,35.805,0.17259295735128
17,NA,NA,39.455,0.171927360060948
18,NA,NA,44.5,0.171007376956849
19,NA,NA,51.9,0.169657946833958
20,NA,NA,57.6,0.168618520928452
21,NA,NA,60.4,0.168107925746794
22,NA,NA,63.8,0.167487917311979
23,NA,NA,69.05,0.166530551346374
24,NA,NA,77.85,0.164925823632634
25,NA,NA,84.95,0.163631100136287
26,NA,NA,88.05,0.163065798328009
27,NA,NA,91.85,0.162372847724417
28,NA,NA,97.2,0.161397246216613
29,NA,NA,106.75,0.159655751936339
30,NA,NA,117.2,0.157750137776239
31,NA,NA,123.585,0.156585798406686
32,NA,NA,129.185,0.155564608043395
33,NA,NA,136.2,0.154285384757963
34,NA,NA,142.4,0.153154781141449
35,NA,NA,147.1,0.152297710657981
36,NA,NA,152,0.151404169090104
37,NA,NA,158.15,0.150282683244679
38,NA,NA,163.4,0.149325317279084
39,NA,NA,166.75,0.148714426615364
40,NA,NA,169.55,0.148203831433694
41,NA,NA,172.8,0.147611176312163
42,NA,NA,179.45,0.146398512755735
43,NA,NA,188.55,0.144739078415394
44,NA,NA,196.2,0.14334405943696
45,NA,NA,200.4,0.142578166664491
46,NA,NA,204.9,0.141757567265398
47,NA,NA,217.75,0.139414300092512
48,NA,NA,232,0.13681573532877
49,NA,NA,239.5,0.135448069663646
50,NA,NA,244.6,0.134518057011355
51,NA,NA,249.2,0.133679222070078
52,NA,NA,251.551,0.133250504472927
53,0.0890441279292705,0.00374613838934567,253.021,0.132982442002553
54,0.202104148211631,0.0110606134058257,256.825,0.132263309031822
55,NA,NA,261.895,0.131026948754633
56,0.0547032363685746,0.0029977041175911,265.59,0.129699179800303
57,0.189325589385607,0.00327392630402833,269.955,0.127431647636932
58,0.108057753484113,0.00632087962490271,278.255,0.120830976937561
59,NA,NA,286.8,0.111801993655196
60,NA,NA,291.81,0.106416537362553
61,0.160316887341011,0.00993056538176004,296.21,0.1021862007339
62,0.041578375409176,0.00405477806378237,301.3,0.0983873681190748
63,NA,NA,305.35,0.0965120074626355
64,NA,NA,311.1,0.0958372400116274
65,NA,NA,319.2,0.0992438030427897
66,0.0978814457905912,0.0053579855853497,327.05,0.107948916943438
67,0.0949103471048551,0.00843327024091671,338.8,0.130284376201863
68,0.270140189545587,0.0143448945406475,352.8,0.162135880694791
69,0.121201641641236,0.0065012216421079,365.55,0.190550557716658
70,0.166240362307265,0.0140159023306376,377.45,0.220813649736721
71,0.267131072306928,0.0123926994246785,385.2,0.243663414183322
72,0.294707967931584,0.0101000510819978,390.5,0.259621446262243
73,0.35283444989578,0.0131718188862432,400.45,0.286360954701495
74,0.236233159814971,0.00670344785744652,409.2,0.304030471932685
75,0.253839627717417,0.0103011301727649,415,0.313609767664563
76,0.330174350121368,0.0088459327047795,421.1,0.323171989421649
77,0.3674339921741,0.0101173914476078,424.3,0.328055755430593
78,NA,NA,426.5,0.331169946590296
79,0.274382473899906,0.0110139178395225,428.95,0.334083921112212
80,0.321933653751738,0.0117522673112297,431.95,0.33630482367774
81,0.272261461528711,0.0108921071583147,435.95,0.335506055284018
82,0.473825558160798,0.0184591034416521,439.65,0.329165785540688
83,0.44128806461856,0.0185910746141437,442.3,0.32044013970048
84,0.263726634256427,0.00480535852617102,444.5,0.310263684556005
85,0.293171103610146,0.00906890188697076,449.1,0.280572287145102
86,NA,NA,455.7,0.221772506157223
87,0.068263743791012,0.003838575478439,462.85,0.146346415931747
88,NA,NA,468.65,0.0834694334736378
89,NA,NA,473.85,0.027096966442229
90,NA,NA,481.55,-0.0563776482004276
94,NA,NA,498.75,-0.242840423765851
95,NA,NA,502.5,-0.283493645182733
97,NA,NA,511.5,-0.38106137658325
98,NA,NA,517.5,-0.446106530850257
99,NA,NA,525,-0.527412973684012
100,NA,NA,533.9,-0.623896619180077
