"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
52,NA,NA,251.551
53,0.0381420253090345,0.00121810754850677,253.021
54,0.229246350706662,0.00610128148560628,256.825
55,0.236265655585275,0.0060865196476798,261.895
56,0.255110184831902,0.00992047030284522,265.59
57,0.168031037325384,0.0114007071076627,269.955
58,0.169373982410068,0.0102759274163724,278.255
59,0.0876621197006347,0.00839616454934708,286.8
60,0.335493924032624,0.0129589859265339,291.81
61,0.252074390625604,0.00294550481132042,296.21
62,0.0553820273124621,0.00629406018601134,301.3
63,0.038655304338063,0.000476099221920571,305.35
64,0.0365959799937797,0.00292928715378258,311.1
65,0.0724197137998769,0.0041573406032851,319.2
66,NA,NA,327.05
67,0.642113219485982,0.0159793014898513,338.8
68,0.414764901533722,0.0110102626605899,352.8
69,0.506483009006758,0.0145819863399226,365.55
70,0.439787634929215,0.0142539794711826,377.45
71,0.157653149907935,0.00992394250829741,385.2
72,0.801779389976708,0.0154021137396016,390.5
73,0.578780802374787,0.00745553543581927,400.45
74,0.812069708565858,0.0179008722886451,409.2
75,0.357869213880793,0.00696560795635601,415
76,0.304525788706699,0.00726673914209423,421.1
77,0.677237432832679,0.0223752759459223,424.3
78,0.918935387409191,0.0201817785256966,426.5
79,0.57237519269296,0.00975456277236949,428.95
80,0.742315787552423,0.016811636464237,431.95
81,0.641357273823877,0.0140342127281263,435.95
82,0.899209230436294,0.0212967549506737,439.65
83,0.921950713881822,0.0371162137999946,442.3
84,0.82527425821625,0.0110112948523291,444.5
85,0.609978349217082,0.0113057609019627,449.1
86,0.708509175008614,0.0138444806166396,455.7
87,0.778231703552763,0.0149919329101374,462.85
88,0.845947892582189,0.021353525531867,468.65
89,0.844945207405508,0.0157023350001373,473.85
90,0.987975100480467,0.0255562948533708,481.55
91,NA,NA,487.45
93,0.852669305541529,0.0335822056469799,495.5
94,0.98825881738361,0.021278375174671,498.75
95,0.892276044565963,0.0195366893025118,502.5
96,NA,NA,506.75
97,0.977688750168109,0.0157082207635764,511.5
98,1.08809009660376,0.0114522077482384,517.5
99,NA,NA,525
