"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
1,NA,NA,0.00585,-1.54486531092285
2,NA,NA,0.07035,-1.54440535875846
3,NA,NA,0.4515,-1.54168736236369
4,NA,NA,1.287,-1.53572937735038
5,NA,NA,2.19,-1.5292900470487
6,NA,NA,3.09,-1.52287210987098
7,NA,NA,4.4665,-1.51305623150972
8,NA,NA,6.2895,-1.50005634320417
9,NA,NA,9.438,-1.47760425964411
10,NA,NA,12.725,-1.45416452686279
11,NA,NA,14.9,-1.43865451201661
12,NA,NA,18.21,-1.41505076528521
13,NA,NA,21.735,-1.38991384467245
14,NA,NA,25.425,-1.36360030224377
15,NA,NA,30.86,-1.32484309273163
16,NA,NA,35.805,-1.28958009346069
17,NA,NA,39.455,-1.26355179268437
18,NA,NA,44.5,-1.22757568928256
19,NA,NA,51.9,-1.17480598359904
20,NA,NA,57.6,-1.13415904814012
21,NA,NA,60.4,-1.11419213247608
22,NA,NA,63.8,-1.0899465920269
23,NA,NA,69.05,-1.05250862515683
24,NA,NA,77.85,-0.989755461641306
25,NA,NA,84.95,-0.939125068350358
26,NA,NA,88.05,-0.91701884029375
27,NA,NA,91.85,-0.889920883321134
28,NA,NA,97.2,-0.851769812320224
29,NA,NA,106.75,-0.783668367823236
30,NA,NA,117.2,-0.709148986148545
31,NA,NA,123.585,-0.663617287393249
32,NA,NA,129.185,-0.623683456065178
33,NA,NA,136.2,-0.573659201285465
34,NA,NA,142.4,-0.52944674517224
35,NA,NA,147.1,-0.495930851021916
36,NA,NA,152,-0.460988748609844
37,NA,NA,158.15,-0.417132844562057
38,NA,NA,163.4,-0.379694877691992
39,NA,NA,166.75,-0.355805889308234
40,NA,NA,169.55,-0.335838973644202
41,NA,NA,172.8,-0.312663089391304
42,NA,NA,179.45,-0.265241664689233
43,NA,NA,188.55,-0.200349188781124
44,NA,NA,196.2,-0.14579672277046
45,NA,NA,200.4,-0.115846349274407
46,NA,NA,204.9,-0.0837566633857856
47,NA,NA,217.75,0.007877217429519
48,NA,NA,232,0.109494556076826
49,NA,NA,239.5,0.162977365891204
50,NA,NA,244.6,0.199345676564977
51,NA,NA,249.2,0.232148466584463
52,NA,NA,251.551,0.248913544700941
53,0.181941360724956,0.00998558161901404,253.021,0.259396175424558
54,0.301070312953542,0.010378052502803,256.825,0.286520726402389
55,0.385918227624781,0.012296882469173,261.895,0.322632828752754
56,0.293799133902938,0.00782332318811148,265.59,0.348840197038968
57,0.433648810870129,0.0105149046941935,269.955,0.379461416731137
58,0.352522555801908,0.0125921910584658,278.255,0.435176670130713
59,0.389430781197802,0.0128305364136261,286.8,0.485803340145875
60,0.627263900483706,0.0213360982040829,291.81,0.510734172882985
61,0.668849639815922,0.01292724159185,296.21,0.529155871210271
62,0.41540706544671,0.0139696939378054,301.3,0.54623832104436
63,0.765460000607968,0.0337321397938245,305.35,0.55667634200569
64,0.440600636001512,0.00547725433410441,311.1,0.567109166006657
65,0.617613175271933,0.0039721396743436,319.2,0.57443965830422
66,0.577595567676765,0.0116000128619539,327.05,0.575191106459095
67,0.467348500200436,0.0161421778117164,338.8,0.568533025624893
68,0.636679203113299,0.0100168733270852,352.8,0.555079937099056
69,0.525652192095244,0.0033659238219348,365.55,0.543789066797847
70,0.451916005316331,0.0232304935856967,377.45,0.536440782634012
71,0.44512566412734,0.0151910019099635,385.2,0.532669105430274
72,0.559477698256045,0.0116276481980886,390.5,0.52996011743032
73,0.594701574301068,0.00634936347443498,400.45,0.52283287600607
74,0.55141173006134,0.00354368677120007,409.2,0.5117604166285
75,0.439467307052361,0.00942277917275187,415,0.500057183480447
76,0.406906491936358,0.00731288361450565,421.1,0.482164383236708
77,NA,NA,424.3,0.469887138794263
78,NA,NA,426.5,0.460138453026414
79,NA,NA,428.95,0.447938918722207
80,0.435880291373993,0.00829440575283194,431.95,0.430949266529591
81,0.472850420400891,0.0077914113524078,435.95,0.404596638787646
82,0.819722671818312,0.0162191687893102,439.65,0.37653157816408
83,NA,NA,442.3,0.354470312680128
84,0.269925413403345,0.00814960527257986,444.5,0.335106008582865
85,0.10144080367911,0.0075808670834537,449.1,0.29227867086431
86,0.0983472720613318,0.0102051214013653,455.7,0.227849357741065
87,NA,NA,462.85,0.157362882985956
88,NA,NA,468.65,0.100185043324469
89,NA,NA,473.85,0.0489221525934796
90,NA,NA,481.55,-0.0269863586812548
94,NA,NA,498.75,-0.196548228022215
95,NA,NA,502.5,-0.233516658837835
97,NA,NA,511.5,-0.322240892795314
98,NA,NA,517.5,-0.381390382100297
99,NA,NA,525,-0.455327243731531
100,NA,NA,533.9,-0.543065652867263
