"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
1,NA,NA,0.00585,-0.836638682390547
2,NA,NA,0.07035,-0.836410185801706
3,NA,NA,0.4515,-0.835059930377885
4,NA,NA,1.287,-0.832100102471281
5,NA,NA,2.19,-0.828901150227517
6,NA,NA,3.09,-0.825712825732072
7,NA,NA,4.4665,-0.820836460545428
8,NA,NA,6.2895,-0.814378332150765
9,NA,NA,9.438,-0.803224510290867
10,NA,NA,12.725,-0.791580040716947
11,NA,NA,14.9,-0.783874923186288
12,NA,NA,18.21,-0.772148974208596
13,NA,NA,21.735,-0.759661369934769
14,NA,NA,25.425,-0.746589239503445
15,NA,NA,30.86,-0.727335302133729
16,NA,NA,35.805,-0.709817230322645
17,NA,NA,39.455,-0.696886803202229
18,NA,NA,44.5,-0.679014473113874
19,NA,NA,51.9,-0.65279936059577
20,NA,NA,57.6,-0.632606638791285
21,NA,NA,60.4,-0.622687407027678
22,NA,NA,63.8,-0.610642625600441
23,NA,NA,69.05,-0.592044066043679
24,NA,NA,77.85,-0.560869337643772
25,NA,NA,84.95,-0.535716999957483
26,NA,NA,88.05,-0.524734993362061
27,NA,NA,91.85,-0.511273178825738
28,NA,NA,97.2,-0.492320360991703
29,NA,NA,106.75,-0.458488695512259
30,NA,NA,117.2,-0.421468705537369
31,NA,NA,123.585,-0.398849314533573
32,NA,NA,129.185,-0.37901085100636
33,NA,NA,136.2,-0.354159632855752
34,NA,NA,142.4,-0.332195619664908
35,NA,NA,147.1,-0.31554548063314
36,NA,NA,152,-0.298186825046828
37,NA,NA,158.15,-0.27639994099462
38,NA,NA,163.4,-0.257801381437858
39,NA,NA,166.75,-0.245933729149257
40,NA,NA,169.55,-0.23601449738565
41,NA,NA,172.8,-0.224501103374321
42,NA,NA,179.45,-0.200942927935755
43,NA,NA,188.55,-0.168705424704033
44,NA,NA,196.2,-0.14160466649275
45,NA,NA,200.4,-0.12672581884734
46,NA,NA,204.9,-0.110784196370114
47,NA,NA,217.75,-0.0652620077407049
48,NA,NA,232,-0.014780203229492
49,NA,NA,239.5,0.0117891675658832
50,NA,NA,244.6,0.0298563397067385
51,NA,NA,249.2,0.0461522204612352
52,NA,NA,251.551,0.0544808325598922
53,0.0381420253090345,0.00121810754850677,253.021,0.0596884292357859
54,0.229246350706662,0.00610128148560628,256.825,0.0731644141032124
55,0.236265655585275,0.0060865196476798,261.895,0.0911253087610731
56,0.255110184831902,0.00992047030284522,265.59,0.10421515210675
57,0.168031037325384,0.0114007071076627,269.955,0.119678525911074
58,0.169373982410068,0.0102759274163724,278.255,0.149081962932585
59,0.0876621197006347,0.00839616454934708,286.8,0.179353332747083
60,0.335493924032624,0.0129589859265339,291.81,0.197101672460832
61,0.252074390625604,0.00294550481132042,296.21,0.212689036688205
62,0.0553820273124621,0.00629406018601134,301.3,0.23072078304358
63,0.038655304338063,0.000476099221920571,305.35,0.245068243315677
64,0.0365959799937797,0.00292928715378258,311.1,0.265438094333978
65,0.0724197137998769,0.0041573406032851,319.2,0.294133014929174
66,NA,NA,327.05,0.32194228986057
67,0.642113219485982,0.0159793014898513,338.8,0.363567637746294
68,0.414764901533722,0.0110102626605899,352.8,0.41316379701416
69,0.506483009006758,0.0145819863399226,365.55,0.458331727851704
70,0.439787634929215,0.0142539794711826,377.45,0.500488463365287
71,0.157653149907935,0.00992394250829741,385.2,0.527943480226381
72,0.801779389976708,0.0154021137396016,390.5,0.546719169192791
73,0.578780802374787,0.00745553543581927,400.45,0.581967868325294
74,0.812069708565858,0.0179008722886451,409.2,0.612965468101095
75,0.357869213880793,0.00696560795635601,415,0.633512448541149
76,0.304525788706699,0.00726673914209423,421.1,0.655122203845051
77,0.677237432832679,0.0223752759459223,424.3,0.666458468927593
78,0.918935387409191,0.0201817785256966,426.5,0.674252151173727
79,0.57237519269296,0.00975456277236949,428.95,0.682931479131367
80,0.742315787552423,0.016811636464237,431.95,0.693559227653261
81,0.641357273823877,0.0140342127281263,435.95,0.707729559019518
82,0.899209230436294,0.0212967549506737,439.65,0.720837115536806
83,0.921950713881822,0.0371162137999946,442.3,0.730224960071362
84,0.82527425821625,0.0110112948523291,444.5,0.73801864232759
85,0.609978349217082,0.0113057609019627,449.1,0.754314523411844
86,0.708509175008614,0.0138444806166396,455.7,0.777695570191354
87,0.778231703552763,0.0149919329101374,462.85,0.803025037543133
88,0.845947892582189,0.021353525531867,468.65,0.823572018056941
89,0.844945207405508,0.0157023350001373,473.85,0.841993448865438
90,0.987975100480467,0.0255562948533708,481.55,0.86927133679787
91,NA,NA,487.45,0.890172575606315
93,0.852669305541529,0.0335822056469799,495.5,0.918690367543357
94,0.98825881738361,0.021278375174671,498.75,0.930203761804581
95,0.892276044565963,0.0195366893025118,502.5,0.943488447491129
96,NA,NA,506.75,0.958544424603071
97,0.977688750168109,0.0157082207635764,511.5,0.975371693140381
98,1.08809009660376,0.0114522077482384,517.5,0.99662719024044
99,NA,NA,525,1.02319656161558
