binno,ratio_mean,ratio_ci,age
22,0,,63.8
23,0.312934095950288,0.0116551135493122,69.05
24,0.320860017579326,0.0122410751676177,77.85
25,0.280229389538274,0.00902924575366682,84.95
26,0.610327397316774,0.0226976264289021,88.05
27,0.570365901399031,0.0161916870202984,91.85
28,0.307326163852055,0.00841584238375223,97.2
29,0.654367815105501,0.0166586083725006,106.75
30,0.628852814370356,0.0182103999196923,117.2
31,0.672044502167808,0.0210074048623421,123.585
32,0.839665166130418,0.0340348899452417,129.185
33,0.821172330720884,0.0384415888456175,136.2
34,0.700135452201119,0.0231895850785418,142.4
35,0.768605793405683,0.0140434495400783,147.1
36,0.563457133526155,0.0218816991237858,152
37,0.766907373885302,0.0292953868849202,158.15
38,0.830145028668193,0.0229769297044097,163.4
39,0.603867705864577,0.0165880790833376,166.75
