"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
52,NA,NA,251.551
53,0.183949090684365,0.0112266429294199,253.021
54,0.294147676005409,0.0125675962610841,256.825
55,0.383450029766468,0.013095678448734,261.895
56,0.293582535108138,0.00682451400161058,265.59
57,0.446198688533084,0.0101927474570016,269.955
58,0.347440563580407,0.0141427355763259,278.255
59,0.401830626168476,0.0120028829379378,286.8
60,0.692041805599932,0.0286486284350268,291.81
61,0.675482817024651,0.0147171410047853,296.21
62,0.425139405199346,0.0132160870376028,301.3
63,0.766583604927998,0.0269501732423632,305.35
64,0.439562604569971,0.00494515841140737,311.1
65,0.615787759639314,0.00514923744955168,319.2
66,0.571835135356096,0.0128882664440538,327.05
67,0.458377946496778,0.0154052162217452,338.8
68,0.64321094710553,0.0089832732333318,352.8
69,0.525237034144125,0.00445416093755172,365.55
70,0.431110779911199,0.0194670162394246,377.45
71,0.465070410926421,0.0156092926197388,385.2
72,0.54598785465678,0.0133071556212272,390.5
73,0.605433408597837,0.00523118763275248,400.45
74,0.54941005149493,0.00409356184027876,409.2
75,0.439807281430262,0.0113317533764139,415
76,0.405151837938159,0.00726698393215662,421.1
77,NA,NA,424.3
78,NA,NA,426.5
79,NA,NA,428.95
80,0.433761160638658,0.00827127044912252,431.95
81,0.463687353069846,0.00863284306511356,435.95
82,0.81854617855709,0.014693363684588,439.65
83,NA,NA,442.3
84,0.274966361418838,0.00773987613454155,444.5
85,0.107619171464411,0.00812699415849602,449.1
86,0.102455086021649,0.0122899427537536,455.7
87,NA,NA,462.85
88,NA,NA,468.65
89,NA,NA,473.85
90,NA,NA,481.55
94,NA,NA,498.75
95,NA,NA,502.5
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
100,NA,NA,533.9
