"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,0.109807303807304,0.00910054725782562,217.75
48,0.147983516483516,0.0150907616557597,232
49,0.141127705627706,0.0126160636642889,239.5
50,0.14682128982129,0.0169950705464188,244.6
51,0.588571428571429,0.0782509921839831,249.2
52,0,0,251.551
53,0.0620227189391276,0.0029394267675663,253.021
54,0.0795029712289774,0.00807914336378789,256.825
55,NA,NA,261.895
56,0.248846153846154,0.00127877530168101,265.59
57,NA,NA,269.955
58,0.170858685260388,0.0115685333538645,278.255
59,0.0857713387506491,0.00454309248444537,286.8
60,NA,NA,291.81
61,NA,NA,296.21
62,0.159563492063492,0.0140679699238297,301.3
63,0.135873015873016,0.00395380735400608,305.35
64,0.0954392551892552,0.00329266561958049,311.1
65,0.101556943056943,0.00976949713993124,319.2
66,NA,NA,327.05
67,NA,NA,338.8
68,0.843333333333333,0.0472786538631454,352.8
69,1,0,365.55
70,NA,NA,377.45
71,1.10333333333333,0.184292569332329,385.2
72,NA,NA,390.5
73,NA,NA,400.45
74,0.790896047761036,0.0194540156809029,409.2
75,0.909649122807017,0.0116220590292251,415
76,0.946617715617716,0.0272726400414599,421.1
77,1.03008547008547,0.0470854924396075,424.3
78,NA,NA,426.5
79,NA,NA,428.95
80,1.00166666666667,0.00326666666666666,431.95
81,0.991581115181115,0.014829513042694,435.95
82,1,0,439.65
83,1,0,442.3
84,NA,NA,444.5
85,0.983032752034314,0.0278372260510615,449.1
86,1.08290476190476,0.0705161529170602,455.7
87,1.00872672393962,0.0240145794463431,462.85
89,NA,NA,473.85
90,NA,NA,481.55
