"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
52,NA,NA,251.551
53,0.102184153089848,0.0110478189220729,253.021
54,0.136242130571939,0.010254362603504,256.825
55,0.377869762568972,0.0193191642428428,261.895
56,0.431393695030937,0.0209417016472198,265.59
57,0.494909209356757,0.0180635322573125,269.955
58,0.461509890011654,0.02089538119062,278.255
59,0.668822021691488,0.0261875593764538,286.8
60,0.576691338819399,0.0319232814928748,291.81
61,0.93075912975913,0.0596826809727318,296.21
62,0.405038190826916,0.017293229061969,301.3
63,0.596110931552108,0.0322316584245272,305.35
64,0.453421982018306,0.0191915887977101,311.1
65,0.272948251520815,0.0132397732302425,319.2
66,0.103846820541342,0.00270843972491906,327.05
67,0.0977206997504046,0.00655807079021498,338.8
68,NA,NA,352.8
69,NA,NA,365.55
70,NA,NA,377.45
71,NA,NA,385.2
72,NA,NA,390.5
73,NA,NA,400.45
74,NA,NA,409.2
75,NA,NA,415
81,NA,NA,435.95
83,NA,NA,442.3
85,NA,NA,449.1
87,NA,NA,462.85
94,NA,NA,498.75
98,NA,NA,517.5
99,NA,NA,525
100,NA,NA,533.9
