"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
53,0.192568317854629,0.00477239015675675,253.021
54,0.216829479368916,0.0162918545342467,256.825
55,0.199577364944852,0.00782961599102688,261.895
56,0.138665143847082,0.00570956377011458,265.59
57,0.269476434289321,0.00927335074353707,269.955
58,0.202944271061849,0.00632265403820079,278.255
59,0.265479587049088,0.0144853360650223,286.8
60,0.388326432251041,0.0193906965091314,291.81
61,0.146908617948543,0.00584709505074221,296.21
62,0.422440238406385,0.015648613781855,301.3
63,0.383719979367038,0.0441560663899773,305.35
64,0.157762758293062,0.00381731943692775,311.1
65,0.0650777767681895,0.0061468174636998,319.2
66,0.073609320384529,0.00688655338359943,327.05
67,0.109799594618426,0.00764190473001911,338.8
68,0.0348314060419646,0.00113958696734783,352.8
69,0.0238850441529626,0.00316348497021909,365.55
70,NA,NA,377.45
71,0.0934574954785343,0.00363994159799958,385.2
72,0.0654555803137063,0.00300397128955931,390.5
73,0.0824489935702255,0.00186262568659631,400.45
74,0.0389386095901217,0.00222557962199122,409.2
75,0.0136281831092254,0.000236947676845587,415
76,NA,NA,421.1
77,0.0232081701447611,0.000382980212984729,424.3
78,NA,NA,426.5
79,0.0351050190992263,0.000338453520822874,428.95
80,0.0202266569761129,0.00169660609578851,431.95
81,0.0176778757297568,0.00173746342231029,435.95
82,0.0214880364975329,0.000330168977416778,439.65
83,0,0,442.3
84,0.0232105676039935,0.00224398307769591,444.5
85,0.0122102485997795,0.000234510667967486,449.1
86,NA,NA,455.7
87,NA,NA,462.85
88,NA,NA,468.65
89,NA,NA,473.85
90,NA,NA,481.55
93,NA,NA,495.5
94,NA,NA,498.75
95,NA,NA,502.5
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
100,NA,NA,533.9
