"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
52,NA,NA,251.551
53,0.0395387590579833,0.00128461325888576,253.021
54,0.225001833036603,0.00543241514621275,256.825
55,0.2303855283296,0.0052491899209063,261.895
56,0.257873707814115,0.0124826203087227,265.59
57,0.167816686409854,0.00939717400293619,269.955
58,0.153336827712966,0.0086057258160053,278.255
59,0.0856013584631493,0.00838215191990716,286.8
60,0.313763959829823,0.00987757311989417,291.81
61,0.255392021227962,0.00340171267437843,296.21
62,0.0517100773453176,0.00655046709847762,301.3
63,0.0382428856389876,0.000557289136418563,305.35
64,0.03515822392344,0.0029064750004207,311.1
65,0.0732574794316092,0.00541376450447434,319.2
66,NA,NA,327.05
67,0.631737961089794,0.0184836766798741,338.8
68,0.408592371662392,0.0109548044513369,352.8
69,0.514563233407421,0.019761968912541,365.55
70,0.437875699591159,0.0182706012663433,377.45
71,0.154966896689349,0.00983563773066983,385.2
72,0.798967136852498,0.0174954166384783,390.5
73,0.578189314463474,0.00775541484975902,400.45
74,0.828231590277144,0.0222885597456787,409.2
75,0.362363670583967,0.00754939846661629,415
76,0.296602896667278,0.00726978826572359,421.1
77,0.675596479658856,0.0180320283687705,424.3
78,0.903383232369754,0.0184118153065984,426.5
79,0.57422806919225,0.0104176477739542,428.95
80,0.716251417143952,0.0200276812605577,431.95
81,0.65660684848051,0.0132661271614981,435.95
82,0.893412815879583,0.0220353085884788,439.65
83,0.940451318410703,0.0327772433618274,442.3
84,0.823616096181034,0.0125194927304073,444.5
85,0.60678790657249,0.0124605504865368,449.1
86,0.713213754470035,0.012921438315501,455.7
87,0.778221548741397,0.0121935923407764,462.85
88,0.860650339857326,0.0188868120012078,468.65
89,0.853028617410599,0.0148825389365117,473.85
90,1.00257632444575,0.0305075778171325,481.55
91,NA,NA,487.45
93,0.852742572203973,0.0373638085030432,495.5
94,0.985395661935717,0.0210194892966182,498.75
95,0.922704741745841,0.0194972044062043,502.5
96,NA,NA,506.75
97,0.986249362110601,0.0186285825100224,511.5
98,1.09483744258186,0.0128748082046571,517.5
99,NA,NA,525
