"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,0.0749661808779456,0.00198988024893023,204.9
47,0,0,217.75
48,NA,NA,232
49,0,0,239.5
50,0.0683026796904506,0.00268257670939749,244.6
51,0.161460317460317,0.00923104370595409,249.2
52,0.371043734043734,0.0373100497431991,251.551
53,0.784122803059924,0.0395252260037107,253.021
54,0.85940207829818,0.026597609216917,256.825
55,0.732241165476662,0.0285854205367206,261.895
56,0.538921318877201,0.0336654203602636,265.59
57,0.780484922324053,0.0127290874154033,269.955
58,0.601746013016911,0.0320355337755812,278.255
59,0.650925760907454,0.0214968310388858,286.8
60,0.665868987823322,0.0467697644401712,291.81
61,0.722085021580674,0.0157623396360244,296.21
62,0.710134920634921,0.0444032079319214,301.3
63,0.529618714618715,0.022024792405045,305.35
64,0.440777666777667,0.0216340400821432,311.1
65,0.315,0.0458176579254961,319.2
66,NA,NA,327.05
67,0.375261904761905,0.0228904596009067,338.8
68,0.520486032250738,0.00318792436960421,352.8
69,0.381964838567006,0.0193181172186935,365.55
70,1.10739355089355,0.0707336592447458,377.45
71,0.61454467685576,0.0183335763783754,385.2
72,0.604620353750416,0.0214599091124648,390.5
73,0.638115475583836,0.0191384253602868,400.45
74,0.499333333333333,0.00130666666666667,409.2
75,NA,NA,415
76,0.714254718847461,0.0169086970128462,421.1
77,0.445856754356754,0.0266366566549613,424.3
78,0.759,0.0598441368148218,426.5
79,NA,NA,428.95
80,0.690357142857143,0.0526439719035122,431.95
81,0.623239451724746,0.0501130683614982,435.95
82,0.99,0.0196,439.65
83,0.540608145858718,0.0150590867615514,442.3
84,1.024,0.0614170211658697,444.5
85,0.811623865951209,0.0191224604018071,449.1
86,0.756381427791058,0.0120213609350839,455.7
87,0.909154997720005,0.0248294892247235,462.85
88,0.416,0.0611098886342373,468.65
89,NA,NA,473.85
90,0.755,0.0068585712797929,481.55
95,NA,NA,502.5
96,NA,NA,506.75
97,NA,NA,511.5
98,NA,NA,517.5
99,NA,NA,525
