"binno","ratio_mean","ratio_ci","age"
1,NA,NA,0.00585
2,NA,NA,0.07035
3,NA,NA,0.4515
4,NA,NA,1.287
5,NA,NA,2.19
6,NA,NA,3.09
7,NA,NA,4.4665
8,NA,NA,6.2895
9,NA,NA,9.438
10,NA,NA,12.725
11,NA,NA,14.9
12,NA,NA,18.21
13,NA,NA,21.735
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,0.102882700632701,0.0121235784517768,204.9
47,0.213948595707897,0.0178402901804856,217.75
48,0.308270073009976,0.0184968949154165,232
49,0.262632932974303,0.0105321835913756,239.5
50,0.234472312181414,0.014572945832391,244.6
51,0.43602938141981,0.0194259209550071,249.2
52,0.509946442446442,0.0464058200108852,251.551
53,0.17789898989899,0.0210351786777749,253.021
54,NA,NA,256.825
55,NA,NA,261.895
56,0.274656454656455,0.0193228795393511,265.59
57,0.035128078817734,0.0002062318825442,269.955
58,NA,NA,278.255
59,NA,NA,286.8
60,NA,NA,291.81
61,NA,NA,296.21
62,0.0908771929824561,0.0043338643946059,301.3
63,0.195708316424127,0.00597117777861746,305.35
64,0.253414211467642,0.00851056474292943,311.1
65,0.2415,0.00799472325975077,319.2
66,NA,NA,327.05
67,0.213442362428843,0.00634784512041179,338.8
68,0.746826395826396,0.054977386242015,352.8
69,0.512850346420006,0.0447662947318927,365.55
70,0.448926310617487,0.0507080536163646,377.45
71,0.646007936507937,0.0776712012982361,385.2
72,0.817169108669109,0.09704067356443,390.5
73,0.705805194805195,0.0855151072701864,400.45
74,0.980281496281496,0.0681415343111721,409.2
75,0.91880211291976,0.0529205464547416,415
76,0.857332223332223,0.0517140410595665,421.1
77,1.02853174603175,0.0801147548870823,424.3
78,1.06460606060606,0.0849688355129556,426.5
79,1.039,0.075679750997946,428.95
80,0.970761904761905,0.0531821256522235,431.95
81,1.0037804972805,0.0540658141125556,435.95
82,1.00849017649018,0.0732028077833809,439.65
83,1.03020634920635,0.0624588027778667,442.3
84,1.0024635952283,0.0419490474455626,444.5
85,1.00815362320858,0.056848650760129,449.1
86,1.01233850748618,0.0243554663303058,455.7
87,0.978544967382179,0.0289741581817269,462.85
88,1.01515413344825,0.046090772757434,468.65
89,0.999723756034128,0.0281855098593909,473.85
90,1.04549366631335,0.0387078118874663,481.55
93,NA,NA,495.5
94,1.03509523809524,0.0914345726006671,498.75
97,1,0,511.5
98,0.879,0.143978003875592,517.5
99,NA,NA,525
100,1,0,533.9
